seed,technique_removed,iter,loss_total,loss_pde,loss_bc,loss_ic,l2_error,bc_rmse,wall_time
0,member0,5750,4.504356e-01,8.689234e-02,1.438837e-03,1.206067e-05,1.415555e-02,4.856354e-03,903.33
0,member0,6000,5.169320e-01,3.008899e-01,5.720219e-04,8.120430e-06,1.253508e-02,4.714546e-03,942.62
0,member0,6250,3.923099e-01,8.498752e-02,8.303988e-04,1.342983e-05,1.435995e-02,5.795770e-03,981.89
0,member0,6500,4.750800e-01,2.317331e-01,9.861721e-04,6.263713e-06,1.286724e-02,4.773257e-03,1021.15
0,member0,6750,4.285185e-01,8.637668e-02,1.517981e-03,7.880364e-06,1.229288e-02,4.901635e-03,1060.54
0,member0,7000,4.893753e-01,2.573938e-01,7.539986e-05,1.530467e-05,1.129797e-02,3.500196e-03,1099.86
0,member0,7250,4.489877e-01,8.160372e-02,1.430852e-03,5.385592e-06,1.213457e-02,3.582145e-03,1139.13
0,member0,7500,4.236691e-01,9.784098e-02,1.056441e-04,1.782222e-05,1.428311e-02,4.612179e-03,1178.43
0,member0,7750,4.333407e-01,8.103605e-02,7.028981e-04,1.103178e-05,1.070599e-02,3.135117e-03,1217.79
0,member0,8000,3.993141e-01,1.138215e-01,9.346614e-04,7.247409e-06,1.072204e-02,4.338616e-03,1257.17
0,member0,8250,1.845000e-01,8.595075e-02,4.691398e-05,6.927272e-06,9.887518e-03,2.650865e-03,1296.46
0,member0,8500,4.817162e-01,2.154533e-01,5.820845e-04,7.680911e-06,1.312356e-02,3.761169e-03,1335.84
0,member0,8750,3.103360e-01,8.028828e-02,7.517057e-04,4.151354e-06,9.817555e-03,2.929113e-03,1375.17
0,member0,9000,6.390517e-01,1.354581e-01,9.926249e-04,9.363763e-06,1.126236e-02,3.387381e-03,1414.54
0,member0,9250,2.453340e-01,8.005059e-02,5.338557e-05,1.143926e-05,1.012377e-02,3.843414e-03,1453.90
0,member0,9500,4.816212e-01,1.629308e-01,7.793048e-04,5.201206e-06,9.832194e-03,2.977775e-03,1493.38
0,member0,9750,2.791965e-01,7.895768e-02,3.047847e-04,6.166876e-06,9.457909e-03,2.654592e-03,1532.74
0,member0,10000,3.579091e-01,1.937907e-01,1.272436e-04,7.828397e-06,9.714767e-03,3.176168e-03,1572.28
0,member0,10250,3.504324e-01,8.807601e-02,3.103885e-04,2.353489e-06,8.789436e-03,2.432246e-03,1611.72
0,member0,10500,2.424509e-01,1.013644e-01,2.223584e-04,2.129721e-06,8.155350e-03,2.023900e-03,1651.14
0,member0,10750,1.671449e-01,8.010101e-02,3.679682e-05,2.636626e-06,7.773167e-03,1.834746e-03,1690.58
0,member0,11000,2.508318e-01,8.379504e-02,1.378052e-04,4.795571e-06,8.345134e-03,2.327988e-03,1730.03
0,member0,11250,1.345360e-01,7.811391e-02,1.804274e-05,2.298454e-06,7.241209e-03,1.745166e-03,1769.49
0,member0,11500,3.036644e-01,1.274677e-01,2.577735e-04,2.101276e-06,7.426089e-03,1.638500e-03,1808.96
0,member0,11750,1.419825e-01,7.541733e-02,1.153973e-05,2.064304e-06,6.854118e-03,1.320502e-03,1848.44
0,member0,12000,2.667626e-01,8.680283e-02,2.106334e-04,1.820463e-06,7.119294e-03,1.746566e-03,1887.99
0,member0,12250,5.777919e-01,8.395274e-02,4.141932e-04,2.018815e-06,7.036216e-03,1.546064e-03,1927.53
0,member0,12500,2.990695e-01,8.450216e-02,2.568187e-04,1.921228e-06,6.481762e-03,1.391930e-03,1967.10
0,member0,12750,3.136514e-01,7.706797e-02,1.845874e-04,2.227081e-06,6.322571e-03,1.324460e-03,2006.58
0,member0,13000,3.254645e-01,7.798380e-02,3.032989e-04,1.865465e-06,6.275961e-03,1.676373e-03,2046.05
0,member0,13250,1.470589e-01,7.465552e-02,4.517578e-05,2.122264e-06,6.051623e-03,1.260951e-03,2085.49
0,member0,13500,1.743256e-01,9.131563e-02,5.598816e-05,1.913711e-06,6.209810e-03,1.391452e-03,2124.94
0,member0,13750,4.434707e-01,8.617155e-02,2.456236e-04,1.534059e-06,5.519292e-03,1.317199e-03,2164.43
0,member0,14000,2.582428e-01,8.415464e-02,1.662256e-04,1.375979e-06,5.499131e-03,1.236189e-03,2204.02
0,member0,14250,3.373939e-01,8.747400e-02,1.634557e-04,3.772855e-06,5.320944e-03,1.518696e-03,2243.55
0,member0,14500,2.656258e-01,8.083358e-02,2.150561e-04,1.488662e-06,5.496983e-03,1.592120e-03,2282.98
0,member0,14750,1.673369e-01,7.668157e-02,7.955845e-05,1.353520e-06,5.085417e-03,1.240317e-03,2322.53
0,member0,15000,3.268525e-01,7.482339e-02,2.248446e-04,1.755507e-06,4.745894e-03,1.449324e-03,2362.02
